gene_callers_id	detection
230705	NOT DETECTED
230706	NOT DETECTED
230707	DETECTED
230708	DETECTED
230709	DETECTED
230710	DETECTED
230711	DETECTED
230712	DETECTED
230713	DETECTED
230714	DETECTED
230715	DETECTED
230716	DETECTED
230717	DETECTED
230718	DETECTED
230719	DETECTED
230720	DETECTED
230721	DETECTED
230722	DETECTED
230723	DETECTED
230724	DETECTED
230725	DETECTED
230726	DETECTED
230727	DETECTED
230728	DETECTED
230729	DETECTED
230730	DETECTED
230731	DETECTED
230732	DETECTED
230733	DETECTED
230734	DETECTED
230735	DETECTED
230736	DETECTED
230737	DETECTED
230738	DETECTED
230739	DETECTED
230740	DETECTED
230741	DETECTED
230742	DETECTED
230743	DETECTED
230744	DETECTED
230745	DETECTED
230746	DETECTED
230747	DETECTED
230748	DETECTED
230749	DETECTED
230750	DETECTED
230751	DETECTED
230752	DETECTED
230753	DETECTED
230754	DETECTED
230755	DETECTED
230756	DETECTED
230757	DETECTED
230758	DETECTED
230759	DETECTED
230760	DETECTED
230761	DETECTED
230762	DETECTED
230763	DETECTED
230764	DETECTED
230765	DETECTED
230766	DETECTED
230767	DETECTED
230768	DETECTED
230769	DETECTED
230770	DETECTED
230771	DETECTED
230772	DETECTED
230773	DETECTED
230774	DETECTED
230775	DETECTED
230776	DETECTED
230777	DETECTED
230778	DETECTED
230779	DETECTED
230780	DETECTED
230781	DETECTED
230782	DETECTED
230783	DETECTED
230784	DETECTED
230785	DETECTED
230786	DETECTED
230787	DETECTED
230788	DETECTED
230789	DETECTED
230790	DETECTED
230791	DETECTED
230792	DETECTED
230793	DETECTED
230794	DETECTED
230795	DETECTED
230796	DETECTED
230797	DETECTED
230798	DETECTED
230799	DETECTED
230800	NOT DETECTED
230801	DETECTED
230802	DETECTED
230803	DETECTED
230804	DETECTED
230805	DETECTED
230806	DETECTED
230807	DETECTED
230808	DETECTED
230809	DETECTED
230810	DETECTED
230811	DETECTED
230812	DETECTED
230813	DETECTED
230814	DETECTED
230815	DETECTED
230816	DETECTED
230817	DETECTED
230818	DETECTED
230819	DETECTED
230820	DETECTED
230821	DETECTED
230822	DETECTED
230823	DETECTED
230824	DETECTED
230825	DETECTED
230826	DETECTED
230827	DETECTED
230828	DETECTED
230829	DETECTED
230830	DETECTED
230831	DETECTED
230832	DETECTED
230833	DETECTED
230834	DETECTED
230835	DETECTED
230836	DETECTED
230837	DETECTED
230838	DETECTED
230839	DETECTED
230840	DETECTED
230841	DETECTED
230842	DETECTED
230843	DETECTED
230844	DETECTED
230845	DETECTED
230846	DETECTED
230847	DETECTED
230848	DETECTED
230849	DETECTED
230850	DETECTED
230851	DETECTED
230852	DETECTED
230853	DETECTED
230854	DETECTED
230855	DETECTED
230856	DETECTED
230857	DETECTED
230858	DETECTED
230859	DETECTED
230860	DETECTED
230861	DETECTED
230862	DETECTED
230863	NOT DETECTED
230864	DETECTED
230865	DETECTED
230866	DETECTED
230867	DETECTED
230868	DETECTED
230869	DETECTED
230870	DETECTED
230871	DETECTED
230872	DETECTED
230873	DETECTED
230874	DETECTED
230875	DETECTED
230876	DETECTED
230877	DETECTED
230878	DETECTED
230879	DETECTED
230880	DETECTED
230881	DETECTED
230882	DETECTED
230883	DETECTED
230884	DETECTED
230885	DETECTED
230886	DETECTED
230887	DETECTED
230888	DETECTED
230889	DETECTED
230890	DETECTED
230891	DETECTED
230892	DETECTED
230893	DETECTED
230894	DETECTED
230895	DETECTED
230896	DETECTED
230897	DETECTED
230898	DETECTED
230899	DETECTED
230900	DETECTED
230901	DETECTED
230902	DETECTED
230903	DETECTED
230904	DETECTED
230905	DETECTED
230906	DETECTED
230907	DETECTED
230908	DETECTED
230909	DETECTED
230910	DETECTED
230911	DETECTED
230912	DETECTED
230913	DETECTED
230914	DETECTED
230915	DETECTED
230916	DETECTED
230917	DETECTED
230918	DETECTED
230919	DETECTED
230920	DETECTED
230921	DETECTED
230922	DETECTED
230923	DETECTED
230924	DETECTED
230925	DETECTED
230926	DETECTED
230927	DETECTED
230928	DETECTED
230929	DETECTED
230930	DETECTED
230931	DETECTED
230932	DETECTED
230933	DETECTED
230934	DETECTED
230935	DETECTED
230936	DETECTED
230937	DETECTED
230938	DETECTED
230939	DETECTED
230940	DETECTED
230941	DETECTED
230942	DETECTED
230943	DETECTED
230944	DETECTED
230945	DETECTED
230946	DETECTED
230947	DETECTED
230948	DETECTED
230949	DETECTED
230950	DETECTED
230951	DETECTED
230952	DETECTED
230953	DETECTED
230954	DETECTED
230955	DETECTED
230956	DETECTED
230957	DETECTED
230958	DETECTED
230959	DETECTED
230960	DETECTED
230961	DETECTED
230962	DETECTED
230963	DETECTED
230964	DETECTED
230965	DETECTED
230966	DETECTED
230967	DETECTED
230968	DETECTED
230969	NOT DETECTED
230970	DETECTED
230971	DETECTED
230972	DETECTED
230973	DETECTED
230974	DETECTED
230975	DETECTED
230976	DETECTED
230977	DETECTED
230978	DETECTED
230979	DETECTED
230980	DETECTED
230981	DETECTED
230982	DETECTED
230983	DETECTED
230984	DETECTED
230985	DETECTED
230986	DETECTED
230987	DETECTED
230988	DETECTED
230989	DETECTED
230990	DETECTED
230991	DETECTED
230992	DETECTED
230993	DETECTED
230994	DETECTED
230995	DETECTED
230996	DETECTED
230997	DETECTED
230998	DETECTED
230999	DETECTED
231000	DETECTED
231001	DETECTED
231002	DETECTED
231003	DETECTED
231004	DETECTED
231005	DETECTED
231006	DETECTED
231007	DETECTED
231008	DETECTED
231009	DETECTED
231010	DETECTED
231011	DETECTED
231012	DETECTED
231013	DETECTED
231014	DETECTED
231015	DETECTED
231016	DETECTED
231017	DETECTED
231018	DETECTED
231019	DETECTED
231020	DETECTED
231021	DETECTED
231022	DETECTED
231023	DETECTED
231024	DETECTED
231025	DETECTED
231026	DETECTED
231027	DETECTED
231028	DETECTED
231029	DETECTED
231030	DETECTED
231031	DETECTED
231032	DETECTED
231033	DETECTED
231034	DETECTED
231035	DETECTED
231036	DETECTED
231037	DETECTED
231038	DETECTED
231039	DETECTED
231040	DETECTED
231041	DETECTED
231042	DETECTED
231043	DETECTED
231044	DETECTED
231045	DETECTED
231046	DETECTED
231047	DETECTED
231048	DETECTED
231049	DETECTED
231050	DETECTED
231051	DETECTED
231052	DETECTED
231053	DETECTED
231054	DETECTED
231055	DETECTED
231056	DETECTED
231057	DETECTED
231058	DETECTED
231059	DETECTED
231060	DETECTED
231061	DETECTED
231062	DETECTED
231063	DETECTED
231064	DETECTED
231065	DETECTED
231066	DETECTED
231067	DETECTED
231068	DETECTED
231069	DETECTED
231070	DETECTED
231071	DETECTED
231072	DETECTED
231073	DETECTED
231074	DETECTED
231075	DETECTED
231076	DETECTED
231077	DETECTED
231078	DETECTED
231079	DETECTED
231080	DETECTED
231081	DETECTED
231082	DETECTED
231083	DETECTED
231084	DETECTED
231085	DETECTED
231086	DETECTED
231087	DETECTED
231088	DETECTED
231089	DETECTED
231090	DETECTED
231091	DETECTED
231092	DETECTED
231093	DETECTED
231094	DETECTED
231095	DETECTED
231096	DETECTED
231097	DETECTED
231098	DETECTED
231099	DETECTED
231100	DETECTED
231101	DETECTED
231102	DETECTED
231103	DETECTED
231104	DETECTED
231105	DETECTED
231106	DETECTED
231107	DETECTED
231108	DETECTED
231109	DETECTED
231110	DETECTED
231111	DETECTED
