gene_callers_id	detection
265521	DETECTED
265522	DETECTED
47342	NOT DETECTED
47343	NOT DETECTED
264333	DETECTED
264334	NOT DETECTED
264335	DETECTED
264336	DETECTED
264337	DETECTED
264338	DETECTED
264339	DETECTED
264340	DETECTED
264341	DETECTED
264342	DETECTED
264343	DETECTED
264344	DETECTED
264345	DETECTED
264346	DETECTED
264347	DETECTED
264348	DETECTED
264349	DETECTED
264350	DETECTED
264351	DETECTED
264352	DETECTED
264353	DETECTED
264354	DETECTED
264355	DETECTED
264356	DETECTED
264357	DETECTED
264358	DETECTED
264359	DETECTED
264360	DETECTED
264361	DETECTED
264362	DETECTED
264363	DETECTED
264364	DETECTED
264365	DETECTED
264366	DETECTED
264367	DETECTED
264368	DETECTED
264369	DETECTED
264370	DETECTED
264371	DETECTED
264372	DETECTED
264373	DETECTED
264374	DETECTED
264375	DETECTED
264376	DETECTED
264377	DETECTED
264378	DETECTED
264379	DETECTED
264380	DETECTED
264381	DETECTED
264382	DETECTED
264383	DETECTED
264384	DETECTED
264385	DETECTED
264386	DETECTED
264387	DETECTED
264388	DETECTED
264389	DETECTED
264390	DETECTED
264391	DETECTED
264392	DETECTED
264393	DETECTED
264394	DETECTED
264395	DETECTED
264396	DETECTED
264397	DETECTED
264398	DETECTED
264399	DETECTED
264400	DETECTED
264401	DETECTED
264402	DETECTED
264403	DETECTED
264404	DETECTED
264405	DETECTED
264406	DETECTED
264407	DETECTED
264408	DETECTED
264409	DETECTED
264410	DETECTED
264411	DETECTED
264412	DETECTED
264413	DETECTED
264414	DETECTED
264415	DETECTED
264416	DETECTED
264417	DETECTED
264418	DETECTED
264419	DETECTED
264420	DETECTED
264421	DETECTED
264422	DETECTED
264423	DETECTED
264424	DETECTED
264425	DETECTED
264426	DETECTED
264427	DETECTED
264428	DETECTED
264429	DETECTED
264430	DETECTED
264431	DETECTED
264432	DETECTED
264433	DETECTED
264434	DETECTED
264435	DETECTED
264436	DETECTED
264437	DETECTED
264438	DETECTED
264439	DETECTED
264440	DETECTED
264441	DETECTED
264442	DETECTED
264443	NOT DETECTED
264444	DETECTED
264445	DETECTED
264446	DETECTED
264447	DETECTED
264448	DETECTED
264449	DETECTED
264450	DETECTED
264451	DETECTED
264452	DETECTED
264453	DETECTED
264454	DETECTED
264455	DETECTED
264456	DETECTED
264457	DETECTED
264458	DETECTED
264459	DETECTED
264460	DETECTED
264461	DETECTED
264462	DETECTED
264463	DETECTED
264464	DETECTED
264465	DETECTED
264466	DETECTED
264467	DETECTED
264468	DETECTED
264469	DETECTED
