gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
0	0.0	0.0	0.31645569620253167	0.5443037974683544	0.0	0.0	0.0	0.5147679324894515	0.8417721518987342	0.14135021097046413	0.5	0.37763713080168776	0.39451476793248946	0.0	0.0	0.0	0.0	0.0	0.0	0.879746835443038	0.6983122362869199	0.7383966244725738	0.8755274261603375	0.0	0.0
1	0.0	0.0	0.26945126945126946	0.2841932841932842	0.0	0.13513513513513514	0.0	0.49795249795249796	0.7059787059787059	0.05323505323505324	0.1506961506961507	0.4430794430794431	0.35135135135135137	0.0	0.04668304668304668	0.0	0.0	0.0	0.0	0.9524979524979525	0.45782145782145783	0.533988533988534	0.9770679770679771	0.0	0.0
2	0.1065891472868217	0.0	0.0	0.332687338501292	0.0	0.0	0.0	0.5058139534883721	0.6479328165374677	0.0	0.479328165374677	0.584625322997416	0.38242894056847543	0.0	0.0	0.0	0.0	0.0	0.19056847545219638	0.7222222222222222	0.08139534883720931	0.8197674418604651	0.8540051679586563	0.0	0.0
3	0.0	0.0	0.50997150997151	0.245014245014245	0.03561253561253561	0.0	0.0	0.8304843304843305	0.8233618233618234	0.0	0.4686609686609687	0.7264957264957265	0.0	0.0	0.245014245014245	0.0	0.0	0.0	0.14387464387464388	1.0	0.11823361823361823	0.9387464387464387	0.8618233618233618	0.0	0.0
4	0.0	0.0	0.6681715575620768	0.6583897667419112	0.2874341610233258	0.13243039879608728	0.0	0.6598946576373212	0.9706546275395034	0.12866817155756208	0.5568096313017307	0.8683220466516177	0.6139954853273137	0.0	0.0	0.0	0.0	0.0	0.47404063205417607	1.0	0.3513920240782543	0.9608728367193379	1.0	0.0	0.0
5	0.0	0.0	0.1829405162738496	0.3872053872053872	0.0	0.0	0.0	0.734006734006734	1.0	0.0	0.3400673400673401	0.6363636363636364	0.3367003367003367	0.0	0.0	0.0	0.1717171717171717	0.0	0.0	1.0	0.37149270482603813	0.8316498316498316	0.936026936026936	0.0	0.0
6	0.0	0.0	0.5804597701149425	0.6347381864623244	0.0	0.0	0.0	0.6807151979565773	0.9137931034482759	0.0	0.6462324393358876	0.4444444444444444	0.34355044699872284	0.0	0.0	0.0	0.10791826309067688	0.0	0.1136653895274585	1.0	0.4604086845466156	0.958492975734355	1.0	0.0	0.0
7	0.0	0.0	0.5784543325526932	0.4722872755659641	0.13348946135831383	0.0	0.0	0.7338017174082748	0.921935987509758	0.0	0.4426229508196721	0.790007806401249	0.20608899297423888	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.9992193598750976	0.49492583918813426	0.9437939110070258	0.936768149882904	0.0	0.0
8	0.0	0.0	0.34324324324324323	0.34234234234234234	0.0	0.15855855855855855	0.0	0.6774774774774774	0.6864864864864865	0.0	0.5	0.6621621621621622	0.14594594594594595	0.0	0.0	0.0	0.14774774774774774	0.0	0.0	0.9684684684684685	0.4486486486486487	0.8801801801801802	0.9621621621621622	0.0	0.0
9	0.09689922480620156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8372093023255814	0.0	0.0	0.3953488372093023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8953488372093024	0.0	1.0	1.0	0.0	0.0
10	0.1170018281535649	0.0	0.17915904936014626	0.32480195003046924	0.09872029250457039	0.0	0.0	0.1712370505789153	0.6593540524070689	0.0	0.3485679463741621	0.3942717854966484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6331505179768434	0.18159658744667886	0.5965874466788543	0.5009140767824497	0.0	0.0
11	0.0	0.0	0.4451476793248945	0.4472573839662447	0.0	0.0	0.0	0.4578059071729958	0.6877637130801688	0.0	0.8438818565400844	0.4578059071729958	0.4451476793248945	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.4578059071729958	0.8248945147679325	0.48945147679324896	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6513994910941476	0.0	0.0	0.183206106870229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41475826972010177	0.0	0.8269720101781171	0.6590330788804071	0.0	0.0
13	0.0	0.0	0.0	0.5843373493975904	0.0	0.0	0.0	0.014056224899598393	0.5261044176706827	0.0	0.4939759036144578	0.4799196787148594	0.4959839357429719	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9136546184738956	1.0	0.0	0.0
14	0.0	0.0	1.0	1.0	0.4282051282051282	0.0	0.0	0.7564102564102564	0.9076923076923077	0.40512820512820513	0.8333333333333334	0.9282051282051282	0.3333333333333333	0.0	0.0	0.0	0.2	0.0	0.2128205128205128	1.0	0.5487179487179488	1.0	1.0	0.0	0.0
15	0.0	0.44545454545454544	0.7636363636363637	0.7818181818181819	0.5	0.0	0.0	1.0	1.0	0.0	0.8	0.896969696969697	0.8393939393939394	0.0	0.0	0.0	0.0	0.0	0.8515151515151516	1.0	0.9696969696969697	0.990909090909091	1.0	0.0	0.0
16	0.0	0.0	0.4683760683760684	0.5435897435897435	0.0	0.0	0.0	0.7760683760683761	0.7538461538461538	0.0	0.7418803418803419	0.7452991452991453	0.7863247863247863	0.0	0.0	0.0	0.0	0.0	0.27692307692307694	1.0	0.06666666666666667	0.9264957264957265	0.8444444444444444	0.0	0.0
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8756218905472637	1.0	0.0	0.0	0.12935323383084577	0.6865671641791045	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9253731343283582	0.8308457711442786	0.0	0.0
18	0.926984126984127	0.0	0.32063492063492066	0.32063492063492066	0.0	0.0	0.7428571428571429	0.0	0.4380952380952381	0.0	0.5428571428571428	0.4507936507936508	0.5396825396825397	0.6190476190476191	0.0	0.0	0.32063492063492066	0.9365079365079365	0.8095238095238095	0.8857142857142857	0.32063492063492066	0.7904761904761904	0.9746031746031746	0.0	0.0
