gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
68576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8427760717129051	1.6622291864659131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.655392050529912	0.0	0.0	0.977671730438186	0.0	0.0
68577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5767564524690862	0.9709673260554532	0.0	0.0	0.4462848297174382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.091816903914351	0.0	0.0	0.0	0.0	0.0
68578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4278356978411972	1.1651536198065886	0.0	0.6199306684492143	0.8505559015109685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0473291453348779	0.8513358944697562	0.0	0.0
68579	0.0	0.0	0.0	0.34245784557420306	0.0	0.0	0.0	0.9360568407884688	1.9271711949861154	0.0	0.0	1.429844282302852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9154921400436237	0.0	0.9792740127461075	1.017712246956666	0.0	0.0
68580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0176266217308017	1.8503011544691086	0.026153282922029848	0.0	0.6612851959953262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8646866589655267	0.0	0.8877631168672473	1.8628061922330845	0.0	0.0
68581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.004584209253127	1.1118202137497901	0.0	0.0	0.856708342318972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4095361600269913	0.22121210605105407	0.0	0.8963234419704444	0.0	0.0
68582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0252175385240008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6535747361653457	0.7083221454579866	0.0	0.0	1.065111319079388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9398422610727998	1.826557940167138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31411781008355705	0.0	1.029048228400719	0.8629690769359571	0.0	0.0
68585	0.0	0.0	0.0	0.6472572815028325	0.0	0.0	0.0	0.733272204869059	1.0849747073366887	0.0	0.0	0.5329105686080179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
