gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
70737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2766990291262137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.831275720164609	0.0	0.0	0.0	0.0	0.0
70740	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6975308641975309	1.7415730337078652	0.0	0.0	0.9200626959247649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8714285714285714	0.0	0.684931506849315	0.9290540540540541	0.0	0.0
70741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6637893828226153	2.022794846382557	0.0	0.0	0.7391089108910891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0660603159406414	0.24786324786324787	0.0	1.1934883720930232	0.0	0.0
70742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351063829787234	2.730372720063442	0.0	0.0	0.778705636743215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.858540925266904	0.0	0.9990892531876139	1.750597609561753	0.0	0.0
70743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.814086814086814	1.6630855178341213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9037433155080213	0.0	0.8113035551504102	0.9754445385266723	0.0	0.0
70744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1762589928057554	0.0	0.0	0.94679186228482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0218508997429305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.493197278911565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19387755102040816	0.0	0.0	0.0
70748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70750	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1475409836065573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7498144023756496	1.1145752143413874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9202952029520295	0.6795886075949367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3939393939393939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0
