gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
79128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.363013698630137	0.0	0.8133333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2666666666666666	0.0	0.0
79129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1256830601092895	7.142045454545454	0.0	0.5191256830601093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.241666666666666	0.0	0.0	8.27659574468085	0.0	0.0
79130	0.0	0.0	0.0	0.9223744292237442	0.0	0.0	0.0	0.6967741935483871	8.552845528455284	0.0	0.8584474885844748	0.7226027397260274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.716332378223496	0.0	6.420091324200913	5.651162790697675	0.0	0.0
79131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3974358974358974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2567567567567568	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3243243243243243	0.0	0.6036036036036037	1.7387387387387387	0.0	0.0
79133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79134	0.0	0.0	0.0	1.1105527638190955	0.0	0.0	0.0	0.0	4.939516129032258	0.0	0.0	0.830820770519263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9516129032258065	0.0	4.8204158790170135	7.476495726495727	0.0	0.0
79135	0.0	0.0	0.0	0.1184573002754821	0.0	0.0	0.0	0.8471074380165289	2.9377713458755426	0.0	0.7589531680440771	0.8500851788756388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6142208774583964	0.0371900826446281	0.7123287671232876	1.6170798898071626	0.0	0.0
79136	0.0	0.0	0.19099099099099098	0.0	0.0	0.0	0.0	1.1711711711711712	2.5633187772925763	0.0	0.0	2.0754310344827585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.692731277533039	0.7987307343608341	1.1014344262295082	1.8909287257019438	0.0	0.0
79137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9288389513108615	8.59675550405562	0.0	0.8584022038567493	1.6747759282970551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.156812339331619	0.0	4.78030303030303	8.116204002582311	0.0	0.0
79138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2297650130548303	1.5895652173913044	0.0	0.9596309111880046	1.859284890426759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9585798816568047	0.0	4.005780346820809	1.3590844062947067	0.0	0.0
79139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07037037037037	0.0	0.0	0.7107061503416856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5985576923076923	0.0	0.0	0.8328981723237598	0.0	0.0
79140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.450859950859951	4.6080246913580245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3745173745173744	0.0	2.1068524970963995	3.1790123456790123	0.0	0.0
79141	0.0	0.0	0.9099099099099099	0.0	0.0	0.0	0.0	1.213302752293578	2.487864077669903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6428571428571428	0.0	0.11261261261261261	0.711484593837535	0.0	0.0
79142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9770058708414873	4.36070215175538	0.0	0.7567099567099567	1.0962246777163904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.056146572104019	0.0	1.7714646464646464	4.663729128014842	0.0	0.0
79143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0989911727616646	2.80999242997729	0.0	0.0	1.1665594855305466	0.11944965603502189	0.0	0.0	0.0	0.0	0.0	0.0	2.0816618911174785	0.0	1.0672205438066464	0.73	0.0	0.0
79144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8789731051344744	2.0907928388746804	0.0	0.0	1.690625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.222587719298246	0.0	1.77728285077951	2.9170258620689653	0.0	0.0
79145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4563106796116505	3.251173708920188	0.0	0.6428571428571429	1.604810996563574	0.0	0.0	0.0	0.0	0.0	0.0	0.1672394043528064	3.470183486238532	0.7056128293241696	1.1462140992167102	0.5784650630011455	0.0	0.0
79146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6360628618693135	3.6142857142857143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6127450980392157	0.0	1.382133995037221	1.8734883720930233	0.0	0.0
79147	0.0	0.0	0.0	0.17687074829931973	0.0	0.0	0.0	1.5328125	2.0924137931034483	0.0	0.0	0.7278911564625851	0.0	0.0	0.0	0.0	0.0	0.0	0.1619047619047619	1.074820143884892	0.0	0.0	0.8571428571428571	0.0	0.0
79148	0.0	0.0	0.0	0.42328042328042326	0.0	0.0	0.0	1.9571045576407506	4.793871866295264	0.0	0.0	0.7592592592592593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.944700460829493	0.0	1.066137566137566	1.5952380952380953	0.0	0.0
79149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5528913963328632	6.413793103448276	0.0	0.9507523939808481	1.2201166180758019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.766393442622951	0.0	6.713550600343053	7.150170648464163	0.0	0.0
79150	0.0	0.0	0.08711111111111111	0.0	0.0	0.0	0.0	0.984	2.806640625	0.0	0.7559958289885297	1.6855345911949686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6536030341340076	0.3466666666666667	1.7917485265225934	0.7924773022049286	0.0	0.0
79151	0.0	0.0	0.0	0.18376068376068377	0.0	0.0	0.0	1.5153846153846153	4.361607142857143	0.0	0.0	1.2389813907933398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.089159067882472	0.0	2.9376770538243626	4.858778625954199	0.0	0.0
79152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1850220264317182	2.0656	0.0	0.0	2.3685714285714288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.747336377473364	0.0	0.9016064257028112	1.2944444444444445	0.0	0.0
79153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8181818181818181	1.8005050505050506	0.0	0.803030303030303	0.7171717171717171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.007575757575758	0.0	2.1866666666666665	2.7297979797979797	0.0	0.0
79154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.864864864864865	11.464015151515152	0.0	1.0170454545454546	1.244949494949495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.428030303030303	0.0	9.484848484848484	17.69128787878788	0.0	0.0
79155	0.0	0.22033898305084745	0.0	0.0	0.0	0.0	0.0	1.1269614835948645	2.592085235920852	0.0	0.0	0.7716049382716049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7175438596491228	0.0	1.9233082706766917	1.0363321799307958	0.0	0.0
79156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.215962441314554	2.8753623188405797	0.0	0.0	0.5938967136150235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7652582159624413	0.0	1.468586387434555	2.196765498652291	0.0	0.0
79157	0.0	0.0	0.6111111111111112	0.9836601307189542	0.0	0.0	0.0	0.0	2.735294117647059	0.0	0.988562091503268	1.8097928436911488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.315359477124183	0.0	0.5274261603375527	3.491830065359477	0.0	0.0
79158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5185185185185186	0.0	1.0946502057613168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30864197530864196	0.0	0.0
79159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21171875	4.104742268041237	0.0	0.235038084874864	1.1089184060721062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5218483174284279	0.0	0.7078590785907859	3.412937527691626	0.0	0.0
