gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
98464	0.0	0.0	0.271505376344086	0.0	0.0	0.0	0.0	0.543010752688172	1.3790322580645162	0.0	0.0	1.086021505376344	0.2768817204301075	0.0	0.0	0.0	0.0	0.0	0.0	0.1774193548387097	0.0	1.3951612903225807	1.5	0.0	0.0
98465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23958333333333334	1.6840277777777777	0.0	0.7013888888888888	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14583333333333334	0.4201388888888889	0.0	0.0
98466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9764868603042877	0.8727524204702628	0.0	0.2793914246196404	1.6459197786998616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1065006915629323	0.0	0.8367911479944675	1.251728907330567	0.0	0.0
98467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03859649122807	2.831578947368421	0.0	0.0	0.0	0.23508771929824562	0.0	0.0	0.0	0.0	0.0	0.0	0.7087719298245614	0.0	0.9228070175438596	0.4070175438596491	0.0	0.0
98468	0.0	0.0	0.24846248462484624	0.24846248462484624	0.0	0.0	0.0	0.7798277982779828	1.7367773677736777	0.0	0.24600246002460024	0.8696186961869619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4858548585485856	0.0	1.3271832718327183	1.5953259532595325	0.0	0.0
98469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7755102040816326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98470	0.0	0.0	0.0	0.750465549348231	0.0	0.0	0.0	0.7467411545623837	1.5027932960893855	0.0	0.0	0.3761638733705773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1284916201117319	0.0	1.1266294227188083	1.1247672253258845	0.0	0.0
98471	0.0	0.0	0.0	0.21405750798722045	0.0	0.0	0.0	1.3226837060702876	1.777422790202343	0.0	0.36315228966986157	1.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.073482428115016	0.0	0.8562300319488818	0.21512247071352503	0.0	0.0
98472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7016806722689075	3.2787114845938374	0.0	0.2815126050420168	1.1946778711484594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.696078431372549	0.0	1.415966386554622	1.26890756302521	0.0	0.0
98473	0.0	0.0	0.22167487684729065	0.6617405582922824	0.0	0.0	0.0	1.5435139573070606	2.8505747126436782	0.0	0.20032840722495895	0.6338259441707718	0.22660098522167488	0.0	0.0	0.0	0.0	0.0	0.0	0.4482758620689655	0.0	0.18555008210180624	0.4236453201970443	0.0	0.0
98474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8125	0.7222222222222222	0.0	0.6736111111111112	1.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19444444444444445	0.0	0.0	0.0	0.0	0.0
98475	0.0	0.11278615298715801	0.11278615298715801	0.2250139586823004	0.0	0.0	0.0	0.7811278615298716	2.062534896705751	0.0	0.2585147962032384	0.6761585706309324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1825795644891122	0.07314349525404802	1.348967057509771	1.0128419877163595	0.0	0.0
98476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0552380952380953	2.2057142857142855	0.0	0.1961904761904762	1.1028571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7676190476190476	0.09523809523809523	0.38476190476190475	0.0	0.0	0.0
98477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13257575757575757	1.6401515151515151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2703917790622994	1.6872190109184328	0.0	0.3725112395632627	0.41040462427745666	0.0	0.0	0.0	0.0	0.0	0.0	0.12973667308927425	1.6435452793834298	0.0	0.37764932562620424	0.9075144508670521	0.0	0.0
98479	0.0	0.0	0.0	0.11317567567567567	0.0	0.0	0.0	1.606981981981982	1.7995495495495495	0.0	0.32826576576576577	0.3902027027027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3192567567567568	0.11373873873873874	1.1813063063063063	1.6570945945945945	0.0	0.0
98480	0.0	0.0	0.15182262307403233	0.07027433295753475	0.0	0.0	0.0	1.1845170988350244	1.8323938369034198	0.0	0.3742953776775648	0.9552799699361142	0.07591131153701616	0.0	0.0	0.0	0.0	0.0	0.0	1.8959037955655769	0.12514092446448705	1.121758737316798	1.8124765125892521	0.0	0.0
98481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8972778633795583	1.313302516692347	0.0	0.20749871597329225	0.903954802259887	0.10323574730354391	0.0	0.0	0.0	0.0	0.0	0.0	1.396507447354905	0.0	0.9938366718027735	0.3091936312275295	0.0	0.0
98482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.505446623093682	2.838779956427015	0.0	0.40522875816993464	0.7538126361655774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1350762527233114	0.0	0.7668845315904139	0.29411764705882354	0.0	0.0
98483	0.0	0.0	0.0	0.18198198198198198	0.0	0.0	0.0	0.9387387387387387	1.963063063063063	0.0	0.0	0.6243243243243243	0.32972972972972975	0.0	0.0	0.0	0.0	0.0	0.0	1.6801801801801801	0.36396396396396397	1.5513513513513513	1.0612612612612613	0.0	0.0
98484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0264765784114054	2.372029871011541	0.0	0.6449422946367956	0.8961303462321792	0.13713509843856075	0.0	0.0	0.0	0.0	0.0	0.13713509843856075	1.3536999321113374	0.0	2.4317718940936865	1.535641547861507	0.0	0.0
98485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.831715210355987	2.668284789644013	0.0	0.0	1.2103559870550162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9174757281553398	0.0	0.9498381877022654	1.5744336569579287	0.0	0.0
98486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9628732849071833	2.79499596448749	0.0	0.16303470540758677	0.8337368845843423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1008878127522195	0.0	0.3252623083131558	0.5318805488297014	0.0	0.0
98487	2.2316258351893095	0.2984409799554566	0.9651076466221232	0.20861172976985895	1.3125463994060875	0.5983667409057164	0.29992576095025986	4.2331106161841126	2.3637713437268	0.14996288047512993	0.0	1.5226429101707497	0.14996288047512993	0.0	0.0	0.0	1.688195991091314	1.4439495174461767	0.22271714922049	9.74610244988864	0.14996288047512993	1.8648849294729029	2.9458054936896807	0.0	0.0
98488	0.0	0.041666666666666664	0.40029761904761907	0.7053571428571429	0.2931547619047619	0.0	0.0	1.3273809523809523	4.441964285714286	0.0	0.40773809523809523	1.1547619047619047	0.08035714285714286	0.0	0.0	0.0	0.0	0.0	0.0	4.837797619047619	0.37351190476190477	3.4702380952380953	5.001488095238095	0.0	0.0
98489	0.0	0.0	0.01557632398753894	0.0	0.0	0.0	0.0	1.439252336448598	2.1682242990654204	0.0	0.6292834890965732	0.46002076843198336	0.01142263759086189	0.0	0.0	0.0	0.0	0.0	0.0	0.5856697819314641	0.0	1.0893042575285565	1.0924195223260644	0.0	0.0
98490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.398550724637681	3.5869565217391304	0.8043478260869565	1.0144927536231885	0.8840579710144928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.840579710144928	0.0	1.8768115942028984	1.891304347826087	0.0	0.0
98491	0.0	0.0	0.0	0.17955555555555555	0.0	0.0	0.0	1.8915555555555557	2.3013333333333335	0.0	0.3217777777777778	1.1057777777777777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.463111111111111	0.3591111111111111	1.536	1.152	0.0	0.0
98492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.214470284237726	2.6770025839793283	0.0	0.10335917312661498	0.9715762273901809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5839793281653747	0.0	1.0258397932816536	2.550387596899225	0.0	0.0
98493	0.0	0.0	0.43722943722943725	0.0	0.0	0.0	0.0	1.683982683982684	2.2835497835497836	0.0	0.0	0.05627705627705628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1341991341991342	0.17965367965367965	0.0	0.0
98494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.641025641025641	4.185897435897436	0.0	0.10256410256410256	2.5064102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.391025641025641	0.0	4.980769230769231	0.0	0.0	0.0
98495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0440771349862259	1.1487603305785123	0.0	0.7520661157024794	0.837465564738292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.462809917355372	0.4738292011019284	0.38292011019283745	1.0909090909090908	0.0	0.0
