gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
169256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9655567506376204	3.5958199234539125	0.0	1.0236311553035424	1.0223191377243546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5031224632341047	0.0	2.734942683319175	5.180954464597492	0.0	0.0
169257	0.0	0.0	0.0	1.5251544730654234	0.0	0.0	0.0	1.1589899756168867	3.1363667505166233	0.0	1.1033914469015775	1.1039634904720375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0982736519066005	0.0	6.00868013158918	4.832197944021374	0.0	0.0
169258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2783161063958726	3.6437839987047798	0.0	1.2438054068160922	0.9720723408424415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7385367697377518	0.0	1.9801192014922875	2.4255109030905966	0.0	0.0
169259	0.0	0.0	0.903951117305294	0.0	0.0	0.0	0.0	1.371541461242021	3.194651473853146	0.0	0.9158410528407608	0.9345204015763512	1.0310630124017504	0.0	0.0	0.0	0.0	0.0	0.0	3.7298946384920555	0.0	3.359993973291922	2.567012963651636	0.0	0.0
169260	0.0	0.0	0.0	0.819570940237836	0.0	0.0	0.0	0.6275689505750305	1.1301251314348195	0.0	0.0	0.48870452318074664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0255113509292375	0.0	2.55364421946963	3.881862307357345	0.0	0.0
169261	0.0	0.0	0.35306470083421854	0.9923638350121045	0.0	0.0	0.0	0.9307222983636005	1.238869997049608	0.0	0.772980536241484	1.3039474574366892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7309388655619085	0.0	2.9546861157918887	1.1767357368283342	0.0	0.0
169262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0438742177913467	2.909887813636651	0.0	1.0119806035803676	1.0309401585846274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9917915582105492	0.0	0.9629438158384305	2.59773250528548	0.0	0.0
169263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8985435438979046	1.2272206820555134	0.0	0.0	0.936667128260005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0350780255688137	0.0	1.0748229025299232	1.8221120271730016	0.0	0.0
169264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.836613162065619	2.1439485561163734	0.0	0.0	0.9893954247016749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77795415367869	0.0	0.9907768759613971	2.051536399200899	0.0	0.0
169265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0357964477355062	2.0462326835623825	0.0	0.0	1.2693883878808307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8227592377745307	0.0	1.033998896904572	2.1710579275701822	0.0	0.0
