gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
178249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6857031482447605	0.8461970117626565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.782793875380766	0.0	0.8965597829729172	1.0804677658442752	0.0	0.0
178250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9763507324425525	1.1846873189348157	0.0	0.0	1.0103485105602386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.047993003749903	0.0	1.0601706633080206	1.1924701051910647	0.0	0.0
178251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.172506551496653	1.29712020757784	0.0	0.5803864296100827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3386506399474396	0.0	0.0	1.1293845525132797	0.0	0.0
178252	0.0	0.0	0.0	0.0	0.3491012006344646	0.0	0.0	0.9156655637326798	1.194358930662877	0.0	0.0	0.7160573386585125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0483627381201708	0.0	4.669669757451107	5.311932374281052	0.0	0.0
178253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46064233199380555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9246281037138742	0.0	0.0	0.0	0.0	0.0
178255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1204451323621603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8951288377541212	0.9330351067544363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5638977596923832	0.0	0.0	0.0	0.0	0.0
178261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2416100222390678	1.1154431990307339	0.0	0.0	0.6583641426554407	0.0	0.0	0.0	0.0	0.0	0.0	0.6583641426554407	2.2802293707825756	0.6501231327917484	0.0	0.5894762700735062	0.0	0.0
178262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
