gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
184233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.015623921265142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8916708802283011	0.0	0.0	1.0146438633033579	0.0	0.0
184234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6846882979540232	2.016105159944984	0.0	0.9686005376071246	0.6008561517467175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6924520685869173	0.0	2.6406956960132706	2.1322739002009055	0.0	0.0
184235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.948707361741051	1.2050590786998645	0.0	0.0	1.1119552446095595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0157703982578403	0.0	0.9565496516354698	0.9491654924034699	0.0	0.0
184236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.095744562343333	1.0786120738339422	0.0	0.0	0.9778582773026612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05127045297408	0.0	0.0
184237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9282571803011876	4.731418943282953	0.0	0.9843110492438496	1.327016931655306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.870947155932666	1.0380821917681646	0.5849845305257118	3.450057935045688	0.0	0.0
184238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0808397827425182	1.2101336886934455	0.0	0.0	1.3670175353923868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9557810219009415	0.0	0.8759629750688049	1.3905640432722677	0.0	0.0
184239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4096592983962213	1.916634638543433	0.0	0.47495398689388174	1.055424388575515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3151084742297525	0.0	0.0	1.198926393690973	0.0	0.0
184240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8560481072697771	1.1444587874787295	0.0	0.0	0.9653223255936084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9729855945205654	0.0	0.0	0.9844530042538678	0.0	0.0
184241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6427753628589192	0.9171717371494816	0.0	0.0	0.8052820951223767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.088514328636182	0.0	0.0	1.2108794584616587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8341707424195279	0.910580294362452	0.0	0.0	0.9057137849880946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0173770944658378	0.0	0.9554760203536605	0.0	0.0	0.0
184244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3799958183443328	1.1762052808176109	0.0	0.0	0.29812131916961887	0.3982818326503627	0.0	0.0	0.0	0.0	0.0	0.0	0.7642338463291407	0.0	0.6440454692475122	0.0	0.0	0.0
184245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9351604591059403	0.0	0.0	0.7348382331648999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9905628894462069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9920884084279595	0.0	0.5962227071222068	0.6412167302793076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0632971539358564	1.6217857739680421	0.0	0.8535075281870298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.291822311140247	0.0	0.0	0.0	0.0	0.0
184249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1453971472646074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43560540184403407	0.8180125982950309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1451367324331538	1.1906933048074437	0.0	0.5145716185501139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9426384745898794	0.0	0.889405231976216	0.0	0.0	0.0
184252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0351976428109944	1.1472550690361696	0.0	0.0	0.8267354810068064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8031296806560054	0.0	0.0	0.0	0.0	0.0
184253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3106949791278437	0.0	0.41477193305639776	0.7309995216100122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.312297999229277	0.0	0.9267305337616245	0.0	0.0	0.0
184254	0.0	0.0	0.6949182458189513	0.0	0.0	0.0	0.0	0.8289187753450493	0.9581534179126127	0.0	0.0	0.8952419454909669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5627097283787141	0.0	1.7018364110254316	1.1949568337108043	0.0	0.0
184255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6716882975859316	0.0	0.07526977101779432	1.0534532355308086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8919389830767639	0.5927021594961068	0.0	0.5998757998415928	0.0	0.0
184256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2125633331351773	0.0	0.0	0.8486925924952516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3395091608407677	0.0	0.0	0.0	0.0	0.0
184257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.134104377809859	1.1614975921490418	0.0	0.0	0.9068850789744644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2659040111298454	0.0	0.0	0.0	0.0	0.0
184258	0.0	0.0	0.9460567920171491	0.49916774893982047	0.0	0.0	0.0	1.2266914223566034	1.0846011563458926	0.0	0.0	0.8317987090750043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.501242782642827	0.5416326934087959	1.1572023341634652	0.6248009174304819	0.0	0.0
184259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0252164072567187	0.9340158823459493	0.0	0.0	1.0439491547734858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9397074365256473	0.0	0.0	0.9292253788103666	0.0	0.0
184260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1704787032431088	2.1226120821439096	0.0	0.0	0.7918510237792843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9150160939902637	0.0	0.2719145579591695	0.7134655992687533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97009039571288	0.0	0.0	0.9922410048233213	0.0	0.0
184262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.180585475491393	1.0548857492246768	0.0	0.0	0.9121557623090559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0179436193488374	0.0	0.0	0.0	0.0	0.0
184263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0774605611297627	0.7436600722307896	0.0	0.0	0.5124290105597692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1143796220848659	1.1422986571918143	0.0	0.0	1.4715250573033392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8010103102093074	0.0	0.0	0.0
184265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0114643861619383	1.2996006839472896	0.0	0.0	0.6509052402168756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0568743967509386	0.0	0.36116798831605046	1.2758769274936128	0.0	0.0
184266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.384578859976413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8493507480772219	0.0	2.0051615670970317	0.0	0.0	0.0
