gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
202670	0.0	0.3333333333333333	0.3393939393939394	0.9575757575757575	0.36363636363636365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3212121212121212	0.0	0.0	0.0	0.0	0.0	0.0	0.4121212121212121	0.3090909090909091	0.6363636363636364	0.9393939393939394	0.0	0.0
202671	0.43982683982683984	0.24761904761904763	0.7385281385281385	0.8354978354978355	0.4121212121212121	0.0008658008658008658	0.0	0.2995670995670996	0.7696969696969697	0.0	0.2995670995670996	0.4623376623376623	0.46320346320346323	0.0	0.33246753246753247	0.0	0.0	0.0	0.12380952380952381	0.9714285714285714	0.47445887445887447	1.0	1.0	0.0	0.0
202672	0.663594470046083	0.6221198156682027	1.0	1.0	0.642089093701997	0.6374807987711214	0.0	0.8894009216589862	0.9324116743471582	0.0	0.5407066052227343	0.7803379416282642	0.7204301075268817	0.0	0.0	0.0	0.29493087557603687	0.0	0.26574500768049153	1.0	0.9262672811059908	1.0	1.0	0.0	0.0
202673	0.4045307443365696	0.1779935275080906	0.8586839266450917	1.0	0.6094929881337648	0.37216828478964403	0.19525350593311758	0.4886731391585761	1.0	0.0	0.7098166127292341	0.7982740021574973	0.651564185544768	0.0	0.0	0.0	0.1650485436893204	0.17583603020496225	0.0	1.0	0.6666666666666666	1.0	1.0	0.0	0.0
202674	0.0	0.0	0.0	0.8153153153153153	0.17117117117117117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7027027027027027	0.0	0.0	0.0	0.0	0.0	0.0	0.5945945945945946	0.0	0.8963963963963963	1.0	0.0	0.0
202675	0.06151288445552785	0.0	0.9201995012468828	0.8869492934330839	0.7472984206151289	0.1629260182876143	0.0	0.5178719866999169	0.8345802161263508	0.0	0.4305901911886949	0.656691604322527	0.11886949293433084	0.0	0.0	0.0	0.0	0.051537822111388194	0.5893599334995844	1.0	0.6242726517040732	1.0	1.0	0.0	0.0
202676	0.5	0.0	1.0	0.9666666666666667	0.2740740740740741	0.5555555555555556	0.0	0.5592592592592592	0.9481481481481482	0.0	1.0	0.34444444444444444	0.3888888888888889	0.0	0.0	0.0	0.0	0.17037037037037037	0.0	1.0	0.3888888888888889	1.0	1.0	0.0	0.0
202677	0.20064724919093851	0.0	0.6774541531823085	0.8252427184466019	0.30312837108953616	0.15210355987055016	0.0	0.30852211434735705	0.6968716289104638	0.0	0.3667745415318231	0.895361380798274	0.26537216828478966	0.0	0.0	0.0	0.0	0.0	0.17475728155339806	1.0	0.6731391585760518	0.9611650485436893	1.0	0.0	0.0
202678	0.0	0.0	0.7679324894514767	0.8649789029535865	0.1729957805907173	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.759493670886076	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.9957805907172996	1.0	1.0	0.0	0.0
202679	0.29793510324483774	0.11651917404129794	0.9454277286135693	1.0	0.5678466076696165	0.0	0.0	1.0	1.0	0.0	0.9321533923303835	1.0	0.995575221238938	0.0	0.0	0.0	0.0	0.1592920353982301	0.9292035398230089	1.0	0.8480825958702065	1.0	1.0	0.0	0.0
202680	0.0	0.006191950464396285	0.8606811145510835	1.0	0.95562435500516	0.0	0.0	0.9742002063983488	1.0	0.0	0.9308565531475749	1.0	0.8152734778121775	0.0	0.0	0.0	0.0	0.0	0.695562435500516	1.0	0.9979360165118679	1.0	1.0	0.0	0.0
202681	0.0	0.0	1.0	1.0	0.900709219858156	0.0	0.0	1.0	1.0	0.0	0.9716312056737588	1.0	0.5709219858156028	0.0	0.05319148936170213	0.0	0.0	0.0	1.0	1.0	0.9113475177304965	1.0	1.0	0.0	0.0
202682	0.25037037037037035	0.0	0.9896296296296296	1.0	0.8992592592592593	0.2325925925925926	0.0	0.88	1.0	0.0	0.7762962962962963	0.96	0.5851851851851851	0.0	0.1259259259259259	0.0	0.0	0.0	0.8948148148148148	1.0	0.9288888888888889	1.0	1.0	0.0	0.0
202683	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.9805555555555555	0.9888888888888889	0.775	0.0	0.0	0.0	0.0	0.0	0.7361111111111112	1.0	1.0	1.0	1.0	0.0	0.0
202684	0.23627075351213284	0.23116219667943805	0.7841634738186463	0.9604086845466155	0.6577266922094508	0.0	0.0	0.6462324393358876	0.7471264367816092	0.0	0.6538952745849298	0.8978288633461047	0.4099616858237548	0.0	0.0	0.0	0.1685823754789272	0.0	0.45849297573435505	1.0	0.8339719029374202	1.0	1.0	0.0	0.0
202685	0.17237798546209762	0.0	0.8006230529595015	0.9293873312564901	0.42471443406022846	0.43406022845275183	0.0	0.9781931464174455	1.0	0.0	0.9127725856697819	0.9688473520249221	0.9127725856697819	0.0	0.0	0.0	0.0	0.0	0.5441329179646937	1.0	0.8836967808930426	1.0	1.0	0.0	0.0
202686	0.0	0.0	0.9436619718309859	0.9420970266040689	0.0	0.0	0.0	0.8967136150234741	1.0	0.0	0.5039123630672926	1.0	0.6541471048513302	0.0	0.0	0.0	0.0	0.0	0.6494522691705791	1.0	0.8998435054773083	1.0	1.0	0.0	0.0
202687	0.0	0.10891089108910891	0.7315731573157316	0.7101210121012101	0.40319031903190317	0.0	0.0	0.7942794279427943	0.995049504950495	0.09130913091309131	0.8074807480748075	0.907040704070407	0.5506050605060506	0.09075907590759076	0.0	0.0	0.0	0.0	0.3030803080308031	0.9961496149614961	0.8250825082508251	0.9680968096809681	0.9862486248624862	0.0	0.0
202688	0.0	0.32323232323232326	0.9212121212121213	0.9838383838383838	0.46060606060606063	0.0	0.0	0.8	0.9474747474747475	0.0	0.795959595959596	0.98989898989899	0.8080808080808081	0.0	0.0	0.0	0.0	0.0	0.705050505050505	1.0	0.9171717171717172	0.9919191919191919	0.9838383838383838	0.17777777777777778	0.0
202689	0.19348659003831417	0.0	1.0	1.0	0.342911877394636	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.6398467432950191	0.0	0.0	0.0	0.0	0.0	0.9693486590038314	1.0	1.0	1.0	1.0	0.0	0.0
202690	0.0	0.11600587371512482	0.9309838472834068	1.0	0.5256975036710719	0.12701908957415564	0.0	0.9669603524229075	1.0	0.2657856093979442	0.9669603524229075	1.0	0.8788546255506607	0.0	0.0	0.0	0.0	0.0	0.604992657856094	1.0	0.9427312775330396	1.0	1.0	0.0	0.0
202691	0.0	0.0	1.0	1.0	0.8326639892904953	0.23694779116465864	0.0	1.0	1.0	0.0	0.9384203480589023	1.0	0.8741633199464525	0.0	0.0	0.0	0.2182061579651941	0.0	0.9531459170013387	1.0	1.0	1.0	1.0	0.0	0.0
