gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
217408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0241781254862927	0.0	0.0	0.0	0.0	0.0
217409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1923216258103349	0.0	0.0	0.8461536150411504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2991857250603256	0.0	1.6809519883397723	2.8810939314119435	0.0	0.0
217410	0.0	0.0	0.0	1.1309799148507218	0.0	0.0	0.0	0.5980563346872171	1.3277589340622973	0.0	1.0934175462044706	0.6266597008595205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.106801588119144	0.43181323892935963	1.7172759619756661	5.696888437165245	0.0	0.0
217411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5707302956287278	0.0	0.0	0.0	0.7778998683173851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.964478846889293	0.0	0.5614961647449898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.501143943717451	0.9900403490978158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1089428539415944	0.9972157542278223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4671360417860366	0.0	0.0	0.6476877043385605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6431565554978417	0.0	0.6068116616695415	0.9409659267589493	0.0	0.0
217416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9139532308929299	0.6851184560882426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7029490258370173	0.6829402427836161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6575754545259896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.864012342584844	0.0	0.0	0.0	0.0	0.0
