gene_callers_id	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
17605	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.14939550949913644	0.0	0.24784110535405873	0.307426597582038	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.23575129533678757	0.14421416234887738	0.6260794473229706	1.0	0.0	0.0
17606	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.4180790960451977	0.0	0.23587570621468926	0.4435028248587571	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.1384180790960452	0.3983050847457627	0.4152542372881356	1.0	0.0	0.0
17607	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04316239316239316	0.07521367521367521	0.0	0.18803418803418803	0.24786324786324787	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.14743589743589744	0.17435897435897435	0.34615384615384615	1.0	0.0	0.0
17608	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.3258042436687201	0.0	0.11978097193702943	0.6344969199178645	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.5462012320328542	0.5735797399041752	0.7618069815195072	1.0	0.0	0.0
17609	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.04791154791154791	0.0	0.1375921375921376	0.4610974610974611	1.0	1.0	0.9680589680589681	0.0	1.0	1.0	0.9995904995904996	0.16871416871416872	0.06838656838656838	0.2502047502047502	1.0	0.0	0.0
17610	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.3134502923976608	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.19415204678362574	0.4584795321637427	1.0	0.0	0.0
17611	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.15918803418803418	0.0	0.18269230769230768	0.33760683760683763	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.21581196581196582	0.0	0.36004273504273504	1.0	0.0	0.0
17612	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.3888888888888889	0.0	0.25203252032520324	0.0027100271002710027	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.7682926829268293	0.7113821138211383	0.7344173441734417	1.0	0.0	0.0
17613	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.06698564593301436	0.0	0.2727272727272727	0.45454545454545453	0.8803827751196173	1.0	1.0	0.0	1.0	1.0	1.0	0.37799043062200954	0.11323763955342903	0.21052631578947367	1.0	0.0	0.0
17614	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.30990173847316704	0.0	0.2214663643235072	0.27286470143613	0.9727891156462585	0.9848828420256992	1.0	0.0	1.0	1.0	0.9614512471655329	0.5419501133786848	0.2811791383219955	0.9017384731670446	1.0	0.0	0.0
