bins	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
AG_349_G23	0.0003549443670547763	7.214231891469733e-05	0.05422954681891207	0.08911157134137893	0.0028192562867819476	0.00017010240240950849	4.606449231738701e-05	0.37398692174916204	0.5187985770007316	0.0	0.4259703160484767	0.44370425958216314	0.21806825811447983	0.0	0.0	0.0	9.229006356465781e-05	4.464942661871781e-05	0.023157736418417195	0.831824563819688	0.2038444751489062	0.9431568709083178	0.640811616297938	0.0	0.0
AG_404_D14	0.011502186169419136	0.002538918929435226	0.10924073168186493	0.15583892460103124	0.039123863445564025	0.0016851529527983917	0.011939822930061805	0.3033297560066837	0.4138882356265052	0.0	0.36047863224629245	0.35501261355894836	0.30399784772583277	0.00011439309493985971	2.0431878879087757e-05	0.0	0.004856781839355689	0.004298245493245845	0.06322824089809634	0.8369267389563899	0.24075950996380927	0.9068715247414667	0.6836234327328647	0.0	0.0
AG_422_K10	0.007371162085548137	0.002486501623455256	0.11494670793601833	0.17081314448358673	0.0246278654595384	0.003838990677774856	0.0037221912575986582	0.20437635394227632	0.40788511420745943	0.0	0.36471081311062686	0.3728956470263746	0.3473372591536264	0.002340853134715735	0.001450517350764649	0.0	0.005636973193729298	0.003708393738133634	0.03978976718169442	0.8351058565781667	0.25570855755704874	0.93911736284493	0.8251788179824356	0.0	0.0
AG_893_K05	0.0007623660751609511	3.5161249872247545e-05	0.06078824417979892	0.10267763835739224	0.00601424861827069	0.0	3.360400110057392e-05	0.8406308243022019	0.7745254351985608	0.0	0.5165583074493494	0.6512590900178581	0.23305023995915333	0.0	0.0	0.0	6.315822365856172e-05	3.6882568564465674e-05	0.022103311900702548	0.8624230466482706	0.20674040483966363	0.8692614780650079	0.5958085827316989	0.0	0.0
AH_321_C14	0.0077072395851818494	0.001540516003321224	0.14599279710838275	0.22505038183847859	0.012387943463444219	0.0	0.0181773992038089	0.014953883281850348	0.14921268240060484	0.0	0.11479323617423663	0.16974130564126677	0.23949758063316953	0.0	0.0	0.0	0.006348234339351472	0.004690160169574011	0.09383116310126538	0.7861868960200485	0.34048631021748965	0.6329957226326592	0.8786639565959139	0.0	0.0
AS9601	0.03720004648029702	0.002939503479174143	0.06452467383551702	0.10247711498454876	0.014019595093464454	0.00391952227918256	0.0073533694332705	0.5589882980648804	0.7543215308562341	0.0	0.5342151609659921	0.5413286861915483	0.21359168268613102	0.0	0.0	0.0	0.014267029435961944	0.007306023613456218	0.012937150616294446	0.9288875462259012	0.1990288926221071	0.8606563759744543	0.6209829049983369	0.0	0.0
CCMP1375	0.0	0.005747126436781609	0.0	0.0	0.0	0.0023684667596712353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	0.0
EQPAC1	0.9538179173671326	0.3568126706634187	0.7547723629591876	0.6890076496472581	0.9151440274303152	0.7151688537459742	0.7940799203165897	0.008106361601220143	0.01706240950534603	0.0	0.0015058733454387417	0.009599477168103835	0.18034709668179583	0.5482931571326498	0.5733258424825463	0.0	0.6772510158452961	0.6260006773889153	0.121721338699698	0.010020872767729037	0.0010518158670121387	0.015140945012194913	0.16678647807379	0.0	0.0
GP2	0.00210840953927935	0.0002640064282422903	0.08268489586106433	0.1382937657145832	0.008998554865916834	0.0	0.0007652007394712093	0.19675020189790982	0.3957582791005792	0.0	0.30674835297775327	0.3327321721846788	0.230134189264726	0.0	0.0	0.0	0.0007298275952017427	0.0008076347967520108	0.017389009454502013	0.8840445484375109	0.21324830733123812	0.9483674072782209	0.7843720331608959	0.0	0.0
JFKN01	0.0034398742276322207	0.0007797512838376171	0.010608118634377172	0.016335564916019375	0.004311432945841039	0.0011307332741034581	0.0012364054743742483	0.5836253824813136	0.4105410115498309	0.001591681458232664	0.11528144905778728	0.2937356233717423	0.03981760692173721	0.0012690355329949238	0.0012690355329949238	0.0	0.0012152108794688597	0.0006659461826367396	0.006280258909772507	0.20773907253385657	0.03319923872377668	0.15993768302527123	0.1405490778857236	0.0	0.0
