bins	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
AG_349_G23	0.00015877446337488938	1.754891623400207e-05	0.01113604311008828	0.018048042231134088	0.0005865973870658674	4.257917304654542e-05	1.1468882765005006e-05	0.0744672501205915	0.10514406365410825	0.0	0.08423222910953818	0.08794494388558449	0.04285208405627639	0.0	0.0	0.0	2.3069365678858527e-05	1.1172031407712129e-05	0.004793935709963518	0.17996617255043304	0.042328912714070466	0.2080272187418401	0.13306503675394166	0.0	0.0
AG_404_D14	0.0030626764076924578	0.0005529377237471503	0.02408397230437049	0.03404780170880497	0.009129382223479525	0.00034835359022136427	0.002608055018521538	0.05887876000355337	0.08001833132204626	0.0	0.0690389702462006	0.06843057983163094	0.05907852625585695	2.537739750500041e-05	4.638442235176313e-06	0.0	0.0015071866745313982	0.001365224050827164	0.012274042153544452	0.1984101026019043	0.04810702467337884	0.18718361951122064	0.13603048437035528	0.0	0.0
AG_422_K10	0.00154740214667208	0.0005197678742444223	0.023373469659106073	0.03479198179554192	0.004919520593439654	0.0007441536095701638	0.0007416038285557099	0.037460043410388805	0.07837319144834819	0.0	0.06943513204130883	0.07181377343793538	0.06788403157820791	0.00046899049633767226	0.0002941600450472395	0.0	0.0011568714981963937	0.0007424760353598512	0.007608339573192946	0.16556764115778222	0.05006758232414933	0.18839006554905222	0.16812577592353703	0.0	0.0
AG_893_K05	0.0001758373693698324	7.918834242670022e-06	0.010386793733658764	0.017509104745402272	0.0010811485489066247	0.0	5.097176509855475e-06	0.16071162069378783	0.13807888391950301	0.0	0.08808323221653479	0.11271104257537955	0.038772065160108046	0.0	0.0	0.0	9.731824149051979e-06	5.691109090931248e-06	0.003643684479532043	0.1465543180531445	0.034355280112857864	0.14686032171092522	0.10104822773689713	0.0	0.0
AH_321_C14	0.0028531631240829563	0.00026300020251585944	0.03666092646271764	0.055042210452095695	0.0026213561296622783	0.0	0.00841892994788721	0.00273667523917192	0.03389890380281197	0.0	0.022883576321610134	0.03689541897052096	0.04988182904625348	0.0	0.0	0.0	0.0025404747054128037	0.0018550811126340507	0.027763573160194108	0.22253581112453727	0.0829604702270267	0.15675596774216294	0.2420689958650657	0.0	0.0
AS9601	0.014800838859954583	0.0004370861012219741	0.011199063507093944	0.018024968881017192	0.0020912894414215574	0.0005394568792306492	0.001047244176959436	0.09815644262302593	0.13304136092289115	0.0	0.09401021570804424	0.09536094929108935	0.037793977895243365	0.0	0.0	0.0	0.0042658325019225	0.0010142628677984294	0.002480920969038091	0.1726759422959751	0.03583120368353349	0.15419976488524362	0.11098098573821105	0.0	0.0
CCMP1375	0.0	0.005747126436781609	0.0	0.0	0.0	0.0016772499064017273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00981700296716149	0.0	0.0	0.0	0.0
EQPAC1	0.11355976500518015	0.04220983287975161	0.08983495517426024	0.08115096417688325	0.10853687556529436	0.08455645562180791	0.09366967695262879	0.0012785063104183679	0.002919728682043479	0.0	0.00024507269438615143	0.0012290611800349284	0.021503845090472595	0.06420949225003922	0.06671332062599	0.0	0.07977996205752168	0.07329253049950504	0.014198246875336589	0.001806768829996527	0.00012155573590149748	0.0025051566758283084	0.02009286126306077	0.0	0.0
GP2	0.0005743529923994162	7.210546185267624e-05	0.01800539739638242	0.03025696028769481	0.0021299066738093573	0.0	0.00021824335856150345	0.03913482450518683	0.08220982999614572	0.0	0.06227542687003985	0.06856011550646482	0.047435308566280976	0.0	0.0	0.0	0.0002079429728779055	0.00023009541054712872	0.00368120202285748	0.20860337324832437	0.04477783876713558	0.20965519660103854	0.18197187936240064	0.0	0.0
JFKN01	0.001248064594011295	0.00027269230298085926	0.00449541218872344	0.00528336017019128	0.001432080294668988	0.00034007074782421666	0.00043005400588825985	0.29855195582565625	0.19589402338769005	0.0011573757800148082	0.04397036856212625	0.13036307355766052	0.012807751503899012	0.00040003287353904316	0.0002783542493861549	0.0	0.00033737907974743864	0.0002561594071339474	0.002317921650522813	0.08546348336449448	0.011059673674406665	0.06007527804179727	0.05473294742799229	0.0	0.0
