layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
AS9601	3339772	0.313215393146598	97.1830985915493	100.0	3738	810.956661316212	1.1192380797252	76	1844
CCMP1375	3502160	0.364421385659136	97.1830985915493	100.0	3652	846.307228915663	1.04278502409941	0	1795
EQPAC1	3309478	0.307871699326419	97.1830985915493	100.0	3784	786.455073995772	1.14338273286603	2	1852
GP2	3248620	0.31164494462264	97.1830985915493	100.0	3650	806.873424657534	1.12355400139136	82	1794
LG	3508126	0.364342101737509	97.1830985915493	100.0	3680	841.271739130435	1.04899310914146	1	1796
MED4	3315980	0.307991604291944	97.1830985915493	100.0	3782	788.90798519302	1.14053763894837	3	1852
MIT9107	3399874	0.310187377532226	97.1830985915493	100.0	3848	788.87525987526	1.13180664930524	11	1882
MIT9116	3370796	0.310104200906848	97.1830985915493	100.0	3828	786.51880877743	1.13563680507512	3	1862
MIT9123	3395496	0.310193267787681	97.1830985915493	100.0	3862	785.159502848265	1.13738905891805	18	1881
MIT9201	3344832	0.312844411916652	97.1830985915493	100.0	3814	790.483481908757	1.1402665365555	80	1858
MIT9202	3382906	0.310966068716809	95.7746478873239	98.5915492957746	3836	789.309697601668	1.1339363257507	108	1876
MIT9211	3377926	0.380095365935544	98.5915492957746	101.408450704225	3480	860.170689655172	1.03021795030442	364	1715
MIT9215	3477580	0.311450491433698	95.7746478873239	98.5915492957746	3902	797.434136340338	1.12204464023833	113	1908
MIT9301	3283758	0.313398855823115	97.1830985915493	100.0	3692	805.771397616468	1.12432158520817	100	1830
MIT9302	3490686	0.311209315303639	97.1830985915493	100.0	3914	796.661727133367	1.1212695728003	136	1900
MIT9303	5365350	0.500075857120225	98.5915492957746	101.408450704225	5430	823.159116022099	1.01204954010456	505	2601
MIT9311	3422128	0.312068981639494	97.1830985915493	102.816901408451	3842	801.349817803227	1.12269324817774	1	1867
MIT9312	3418408	0.312104933056557	97.1830985915493	100.0	3800	809.622631578947	1.11162857096052	1	1864
MIT9313	4821746	0.507397738245747	98.5915492957746	101.408450704225	5112	788.144366197183	1.0601968664463	361	2441
MIT9314	3381112	0.311843152100937	97.1830985915493	100.0	3848	793.956860706861	1.1380871145351	74	1872
MIT9321	3317328	0.311954681599167	97.1830985915493	100.0	3768	797.101910828025	1.13585391616385	9	1856
MIT9322	3315100	0.312079273626738	97.1830985915493	100.0	3762	797.55023923445	1.13480739645863	0	1850
MIT9401	3333616	0.312110333043758	97.1830985915493	100.0	3786	796.748019017433	1.13570369232689	4	1858
MIT9515	3408352	0.307941785355503	97.1830985915493	100.0	3742	807.049706039551	1.09789129761245	142	1840
NATL1A	3729462	0.349793080074284	97.1830985915493	100.0	4060	789.24236453202	1.08862886925782	104	1973
NATL2A	3685798	0.351230317016831	97.1830985915493	100.0	3982	797.330989452536	1.08036305842046	66	1934
PAC1	3682326	0.350878765215247	97.1830985915493	100.0	4118	766.808159300631	1.11831489118563	147	2001
SB	3339646	0.315014824924558	97.1830985915493	100.0	3710	815.485714285714	1.11089618480522	78	1822
SS2	3505544	0.364357714523053	97.1830985915493	102.816901408451	3688	838.779826464208	1.05204784193266	0	1795
SS35	3502030	0.364394573658463	97.1830985915493	100.0	3670	842.324795640327	1.04796360967782	1	1797
SS51	3493954	0.364325346011997	97.1830985915493	100.0	3666	840.31914893617	1.04924106041465	5	1795
