items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000001	31	524	36	0	0.677871123541796	0.723966461841857	0.700160937347116
GC_00000002	31	220	16	0	0.751281855213207	0.894461248132764	0.816643259263577
GC_00000003	31	186	6	0	0.774752301085518	0.880582083653737	0.824284207342043
GC_00000004	23	150	10	0	0.674270781834875	0.692295655123229	0.683164345349918
GC_00000005	31	110	6	0	0.781795634714984	0.892318308766681	0.833408695132452
GC_00000006	31	106	10	0	0.971692544838248	0.815819897644712	0.886960105710846
GC_00000007	27	88	6	0	0.763814324125263	0.831912558412322	0.796410382614532
GC_00000008	31	86	6	0	0.701883399906683	0.72829457364341	0.714845118490451
GC_00000009	31	86	6	0	0.83882338352912	0.894728995696855	0.865874735030679
GC_00000010	31	86	4	0	0.850138726889884	0.929255854219364	0.887938400226609
GC_00000011	31	84	4	0	0.916520109160074	0.716384776993261	0.80418775101739
GC_00000012	30	84	4	0	0.755442420864491	0.665543620572431	0.707649293173544
GC_00000013	2	84	54	0	0.700845374072717	0.693939069779702	0.697375123571264
GC_00000014	23	80	4	0	0.827293247668564	0.886517474204264	0.855882053938743
GC_00000015	31	80	4	0	0.717222746262595	0.633721012078192	0.672891261151044
GC_00000016	29	78	4	0	0.700398595990243	0.702875866099007	0.701635044420641
GC_00000017	31	76	4	0	0.847026234161993	0.958862490169501	0.899481427825092
GC_00000018	31	74	4	0	0.849160115466126	0.937325133286405	0.891067103931112
GC_00000019	31	74	4	0	0.794255844049835	0.924088323647661	0.854267224544251
GC_00000020	31	72	4	0	0.887375089861456	0.757932959599704	0.817562192507372
GC_00000021	31	72	4	0	0.786974083309047	0.807877456361601	0.797288781848008
GC_00000022	31	72	4	0	0.882990836874854	0.935094502498864	0.908296062277222
GC_00000023	31	72	4	0	0.92541243652459	0.933324917524411	0.929351835657581
GC_00000024	31	72	4	0	0.880463562911586	0.908286087120999	0.894158446817876
GC_00000025	26	70	4	0	0.692403304818308	0.94556209835713	0.799418987170496
GC_00000026	31	70	4	0	0.789467406499139	0.782763261562663	0.786101040466909
GC_00000027	31	70	4	0	0.748573293183374	0.815509747248016	0.780609214907432
GC_00000028	31	68	6	0	0.800585350668799	0.878630749448198	0.837794381088135
GC_00000029	31	68	8	0	0.819928745141522	0.858731750670823	0.838881773291484
GC_00000030	30	68	4	0	0.80570329796336	0.752238354368631	0.778053429744471
GC_00000031	31	68	4	0	0.752512238399704	0.807885432438929	0.779216332472982
GC_00000032	31	66	4	0	0.865768563782871	0.96780873769483	0.913949338460172
GC_00000033	31	66	4	0	0.811193340853368	0.821302379442372	0.816216560629003
GC_00000034	31	66	4	0	0.842623072544118	0.901166843621148	0.870912221257472
GC_00000035	30	66	4	0	0.726122838444697	0.916063546169075	0.810108607125551
GC_00000036	31	66	4	0	0.83287797863599	0.931023623454158	0.879220329122672
GC_00000037	31	66	4	0	0.807471828398585	0.9191069921945	0.859680420759807
GC_00000038	31	66	4	0	0.726755412334881	0.784615846200005	0.754578082134945
GC_00000039	20	66	4	0	0.794506600043159	0.983362492623135	0.878903844885751
GC_00000040	31	64	4	0	0.98390497457123	0.900033915239737	0.940102517418761
GC_00000041	31	64	4	0	0.915835485384096	0.931482120310245	0.92359253996315
GC_00000042	31	64	4	0	0.935223259381097	0.969598215395652	0.952100567218453
GC_00000043	31	64	4	0	0.711662975030952	0.916688116623382	0.801268222308168
GC_00000044	31	64	4	0	0.825688126562137	0.953588254605517	0.885041253613647
GC_00000045	31	64	4	0	0.828082002475456	0.938759887621158	0.879954422568569
GC_00000046	31	64	4	0	0.742740828751163	0.960144834614595	0.837565064436883
GC_00000047	31	64	4	0	0.878704963195408	0.949996609448196	0.912961139453919
GC_00000048	31	64	4	0	0.766965097341933	0.843458534469077	0.803395136800721
GC_00000049	31	64	4	0	0.674558905067969	0.923186721150285	0.77952812209089
GC_00000050	31	64	4	0	0.905717534701228	0.930094559567802	0.917744200684325
GC_00000051	31	64	4	0	0.823827439177326	0.893986399109252	0.857474202876537
GC_00000052	31	64	4	0	0.858312165336426	0.913863871699157	0.8852173397547
GC_00000053	31	64	4	0	0.790014749744678	0.920478555182058	0.850271244351516
GC_00000054	31	64	4	0	0.749147828936826	0.895426252097372	0.815781594113347
GC_00000055	31	64	4	0	0.832690970380585	0.940035870335765	0.883113363078699
GC_00000056	31	64	4	0	0.868161938534279	0.86586799791687	0.867013450903571
GC_00000057	31	64	4	0	0.93470706629298	0.897324939286502	0.915634616597995
GC_00000058	31	64	4	0	0.974304227844704	0.952647294334587	0.963354060371267
GC_00000059	31	64	4	0	0.736359991150932	0.939998519395911	0.825810585348438
GC_00000060	31	64	4	0	0.817438898355226	0.954116394760356	0.880505234769074
GC_00000061	31	64	4	0	0.784495609660641	0.958240738387558	0.862707262753688
GC_00000062	31	64	4	0	0.912241872307408	0.937008104104211	0.924459146311734
GC_00000063	31	64	4	0	0.927494615016959	0.978931358523439	0.952519086608516
GC_00000064	31	64	4	0	0.890345773077336	0.957068166018894	0.922502075066799
GC_00000065	31	64	4	0	0.808462421231869	0.95439221270448	0.875387254551999
GC_00000066	31	64	4	0	0.77229215439206	0.938919017947677	0.847493053915763
GC_00000067	31	64	4	0	0.836196920766701	0.90091814414745	0.86735184469335
GC_00000068	31	64	4	0	0.90593153672105	0.94611867850937	0.92558910259984
GC_00000069	31	64	4	0	0.861974050670007	0.880133826536239	0.870959289625345
GC_00000070	31	64	4	0	0.778690203204546	0.892245356189933	0.831609230904906
GC_00000071	31	64	4	0	0.869159600750585	0.965150524060023	0.914643421316601
GC_00000072	31	64	4	0	0.779563236516595	0.899053667125508	0.835055556781056
GC_00000073	31	64	4	0	0.894643740380711	0.951791864566696	0.922333420670941
GC_00000074	31	64	4	0	0.742404723878929	0.878965076217594	0.804933981957352
GC_00000075	31	64	4	0	0.741856531108899	0.942964822346495	0.830408055582863
GC_00000076	31	64	4	0	0.773397379077077	0.911433955645131	0.836761066785382
GC_00000077	31	64	4	0	0.836499319913681	0.946869745063736	0.888269190429953
GC_00000078	31	64	4	0	0.894151723457392	0.953478837512915	0.922862788537762
GC_00000079	31	64	4	0	0.745916651571954	0.937468827566403	0.830794393176471
GC_00000080	31	64	4	0	0.783194373818684	0.948094275889766	0.857791221413724
GC_00000081	31	64	4	0	0.920342842367154	0.94932779416206	0.93461064569016
GC_00000082	31	64	4	0	0.845016986593911	0.94668150564792	0.892964923094682
GC_00000083	31	64	4	0	0.794300103664161	0.937182218175945	0.859845836899169
GC_00000084	31	64	4	0	0.747246558197747	0.928523720965953	0.828080272485839
GC_00000085	31	64	4	0	0.907569208105722	0.954056838294437	0.930232589829817
GC_00000086	31	64	4	0	0.906679050562797	0.957170561761777	0.93124090101074
GC_00000087	31	64	4	0	0.76507402904873	0.923657698328757	0.836919808239377
GC_00000088	31	64	4	0	0.80661219506321	0.916388776154401	0.858003419165612
GC_00000089	31	64	4	0	0.88262984819136	0.967374237684455	0.923061071129957
GC_00000090	31	64	4	0	0.899435113102539	0.93742743300544	0.91803837039106
GC_00000091	31	64	4	0	0.880040532199664	0.908918247498915	0.894246315043327
GC_00000092	31	64	4	0	0.805861498972753	0.920107376090077	0.859203337933709
GC_00000093	31	64	4	0	0.932349689518656	0.95061555870906	0.941394029282489
GC_00000094	31	64	4	0	0.948998091030243	0.916667756846328	0.932552795932074
GC_00000095	31	64	4	0	0.922143460930847	0.965676483218022	0.943408037545315
GC_00000096	31	64	4	0	0.915457338111101	0.972449195414206	0.943093035670388
GC_00000097	31	64	4	0	0.876448363267986	0.908108994209064	0.891997826025277
GC_00000098	31	64	4	0	0.878143483460351	0.955306051009175	0.91510103510612
GC_00000099	31	64	4	0	0.763947050667323	0.932652884320632	0.839912115496076
GC_00000100	31	64	4	0	0.85545250323394	0.924220717513907	0.888507976768573
GC_00000101	31	64	4	0	0.943789953820652	0.961075969611862	0.952354529334676
GC_00000102	31	64	4	0	0.871180975237739	0.955762202831297	0.911513678096972
GC_00000103	31	64	4	0	0.836152723830137	0.958311315986857	0.893074031420961
GC_00000104	31	64	4	0	0.779464262866777	0.897091756077709	0.834151625682276
GC_00000105	31	64	4	0	0.772524092387258	0.724448893217276	0.747714526708871
GC_00000106	31	64	4	0	0.873605698815586	0.963362376972282	0.916291223173877
GC_00000107	31	64	4	0	0.872784490369757	0.959055185684147	0.913888373983641
GC_00000108	31	64	4	0	0.845852135003817	0.920006548403286	0.881372343661101
GC_00000109	31	64	4	0	0.890048991936889	0.924036364955877	0.906724297197027
GC_00000110	31	64	4	0	0.916800286732942	0.938800056869861	0.927669758512855
GC_00000111	31	64	4	0	0.787507031169075	0.863141254308743	0.823591327892685
GC_00000112	31	64	4	0	0.897963642854285	0.940857415941711	0.918910242608026
GC_00000113	31	64	4	0	0.756237529125825	0.944962896177645	0.840131938708502
GC_00000114	31	64	4	0	0.797704467246572	0.928045996834928	0.857953050448154
GC_00000115	31	62	2	0	0.982096909265262	0.768331239950275	0.862161336225401
GC_00000116	31	62	2	0	0.954168351328839	0.985382350444927	0.969524180927798
GC_00000117	31	62	2	0	0.954690446696561	1.0	0.976820087610285
GC_00000118	31	62	2	0	0.998664619082593	0.790956803810403	0.88275717432036
GC_00000119	31	62	2	0	0.992207295823731	0.998752611824248	0.995469194902783
GC_00000120	31	62	2	0	0.979901054923428	0.989136182834019	0.984496961698786
GC_00000121	31	62	2	0	0.97976441738463	1.0	0.98977879264943
GC_00000122	31	62	2	0	0.947110945890993	1.0	0.972837164610153
GC_00000123	31	62	2	0	0.96110778882096	1.0	0.980168243989066
GC_00000124	31	62	2	0	0.969264427664675	0.92037799186076	0.944188845781862
GC_00000125	31	62	2	0	0.97006874669487	1.0	0.984807000590541
GC_00000126	31	62	2	0	0.901429886698859	0.955102161921755	0.927490192530365
GC_00000127	31	62	2	0	0.974517542134484	1.0	0.98709433706121
GC_00000128	31	62	2	0	0.928374836173001	0.978218256272196	0.952645026363162
GC_00000129	31	62	2	0	0.943192159218592	0.908275920090049	0.925404802610348
GC_00000130	31	62	2	0	0.956304155680822	1.0	0.977664084497141
GC_00000131	31	62	2	0	0.937372516431216	1.0	0.967674010528368
GC_00000132	31	62	2	0	0.925665966913984	1.0	0.96139827240903
GC_00000133	31	62	2	0	0.911211514877687	0.98716766694022	0.947670048055923
GC_00000134	31	62	2	0	0.931706688456796	0.758177628852754	0.836032574070013
GC_00000135	31	62	2	0	0.967402721507491	0.997560264796163	0.982250069602491
GC_00000136	31	62	2	0	0.928546752553377	0.931026932746993	0.929785188697497
GC_00000137	31	62	2	0	0.898573716581848	0.979175241004273	0.937144586809105
GC_00000138	31	62	2	0	0.930149832920125	0.962567787559233	0.946081187267395
GC_00000139	31	62	2	0	0.953209239661116	1.0	0.976044163938625
GC_00000140	31	62	2	0	0.938700504688478	0.957940217078292	0.948222776103992
GC_00000141	31	62	2	0	0.965306522946506	0.937435383197038	0.951166826482552
GC_00000142	31	62	2	0	0.832154198252278	0.972123047895503	0.896709502102522
GC_00000143	31	62	2	0	0.8365931711088	0.91757403413219	0.875214367989834
GC_00000144	31	62	2	0	0.871264287360043	0.879592846082732	0.875408757883456
GC_00000145	31	62	2	0	0.910212888023047	0.955317941357073	0.932220136690837
GC_00000146	31	62	2	0	0.858164721638193	0.907915990988859	0.882339598759156
GC_00000147	31	62	2	0	0.944930326738894	1.0	0.971685529037206
GC_00000148	31	62	2	0	0.87693774703722	0.733030977148152	0.798552821495404
GC_00000149	31	62	2	0	0.961329342362648	1.0	0.980283445109342
GC_00000150	31	62	2	0	0.871182631217791	0.992679148212744	0.927970992097104
GC_00000151	31	62	2	0	0.812386641807136	0.980441506787951	0.888537569885826
GC_00000152	31	62	2	0	0.871799098198228	0.764554039924757	0.814662198521258
GC_00000153	31	62	2	0	0.931278550966371	0.998963038680726	0.963934106612672
GC_00000154	31	62	2	0	0.832589425452705	0.904831865433572	0.867208715496221
GC_00000155	31	62	2	0	0.822381264732898	0.900868015353599	0.859837269494431
GC_00000156	31	62	2	0	0.856016631090175	0.863839914742266	0.859910479639435
GC_00000157	31	62	2	0	0.852043658551892	0.987082954283167	0.914605623987094
GC_00000158	31	62	2	0	0.768863314322499	0.823175289096861	0.795092882401267
GC_00000159	31	62	2	0	0.815335746963891	0.990392549621932	0.894378684501156
GC_00000160	31	62	2	0	0.762771084337349	0.975834796072988	0.856247610710984
GC_00000161	31	62	2	0	0.85589714724776	0.992717281471781	0.919244030594066
GC_00000162	31	62	2	0	0.769955817210855	0.992694189455247	0.867251766365289
GC_00000163	31	62	2	0	0.864246605363357	0.955759958062944	0.907702549976625
GC_00000164	31	62	2	0	0.887377704651204	0.888030180827408	0.887703822844277
GC_00000165	31	62	2	0	0.87669220945083	0.969368555073875	0.92070410319205
GC_00000166	31	62	2	0	0.754670161050424	0.810910181674198	0.781780022015948
GC_00000167	31	62	2	0	0.920170943946287	0.8872308568657	0.903400732137823
GC_00000168	31	62	2	0	0.788691032022498	0.906899135043795	0.843674643378652
GC_00000169	31	62	2	0	0.956742855156914	0.992355091623939	0.974223635356933
GC_00000170	31	62	2	0	0.828953360353459	0.97775773785406	0.897227634467792
GC_00000171	31	62	2	0	0.867934320583562	0.994541424390345	0.926934632893741
GC_00000172	31	62	2	0	0.82501653982546	0.942821237892069	0.879993769975831
GC_00000173	31	62	2	0	0.727965655540208	1.0	0.842569588355188
GC_00000174	31	62	2	0	0.899995036178051	0.978187742902878	0.937463725967714
GC_00000175	31	62	2	0	0.900493091509121	0.965107827851128	0.93168150007059
GC_00000176	31	62	2	0	0.884795443083039	0.969470182941317	0.925199483863042
GC_00000177	31	62	2	0	0.864150447329542	0.991601082527141	0.923499191838967
GC_00000178	31	62	2	0	0.825471812831363	0.963592772300105	0.889200623825792
GC_00000179	31	62	2	0	0.818534467036987	0.932337360464798	0.871737442409612
GC_00000180	31	62	2	0	0.767470220508404	0.866725007419559	0.814083435316162
GC_00000181	31	62	2	0	0.823530927669005	0.990494670352824	0.899329089530357
GC_00000182	31	62	2	0	0.859333081384227	0.994224720977484	0.921870569104841
GC_00000183	31	62	2	0	0.897773386355689	0.854746818073797	0.8757319241163
GC_00000184	31	62	2	0	0.797810498238024	0.991781856784202	0.884284038299448
GC_00000185	31	62	2	0	0.818181116194668	0.923185225681314	0.867517305506939
GC_00000186	31	62	2	0	0.923763237942593	0.918736836649276	0.921243181201243
GC_00000187	31	62	2	0	0.87269484307629	0.994941953019896	0.929817524880248
GC_00000188	31	62	2	0	0.897757728539207	0.985007000985537	0.939360753824202
GC_00000189	31	62	2	0	0.933175982415444	1.0	0.965433039623707
GC_00000190	31	62	2	0	0.836814075865333	0.923389141184231	0.877972524262701
GC_00000191	31	62	2	0	0.863214151961756	0.942295137243011	0.901022778067427
GC_00000192	31	62	2	0	0.843282160429353	0.959920124391263	0.897828849431394
GC_00000193	31	62	2	0	0.757714496062947	0.973432220368996	0.852133094563538
GC_00000194	31	62	2	0	0.87545588729316	0.991827370219831	0.930015418864648
GC_00000195	31	62	2	0	0.798879000758857	0.99523847675187	0.886313332087304
GC_00000196	31	62	2	0	0.866002865220498	0.946135345633459	0.904297382282829
GC_00000197	31	62	2	0	0.91431941348547	0.990541000181873	0.950905231502977
GC_00000198	31	62	2	0	0.787196741319963	0.856875517834985	0.820559572853888
GC_00000199	31	62	2	0	0.84058298379558	0.952706611005103	0.893139588923398
GC_00000200	31	62	2	0	0.855319878152912	0.807941059014905	0.830955663911728
GC_00000201	31	62	2	0	0.900073832411337	0.968188154626763	0.932889315177614
GC_00000202	31	62	2	0	0.9109705858496	0.98849567566391	0.948151070661113
GC_00000203	31	62	2	0	0.794045922684969	0.945455688291708	0.863161298190264
